title,date,link,keyword1,keyword2,keyword3,type,summary,details
"Schmitt-Trigger-Based Low Power SRAM Implemented Using 45-nm CMOS Technology","September 06, 2023","https://ieeexplore.ieee.org/abstract/document/10223482/","Temperature measurement","Monte Carlo methods","SRAM","Conference Paper","This paper presents a Schmitt-trigger-based SRAM with a separated read port, which significantly improves read static noise margin (RSNM) and consumes low energy.","Post-layout simulation results show that the proposed design performed better than the conventional 6T SRAM cell. The SNM of the designed cell is 1.16 mV higher than the conventional 6T SRAM cell in write mode, and 232.37 mV and 207.46 mV in read mode 1 and 0, respectively. The impact of the process, voltage, and temperature variations on cell performance parameters such as read, write and hold SNM, power per access, power per bit, delay, and energy per bit was investigated. Aside from this, the DNM of the cell was also measured to determine the noise tolerance of the cell during the write operation. Monte Carlo simulation results verified how robust the proposed cell is. The design was implemented in a 45-nm technology in which the cell occupies 4.53×4.53 µm2 and the system is 568.55×568.55 µm2. This cell consumes only 0.396 fJ, which is lower than the energy per bit consumed on the 6T conventional cell which is 7.265 fJ. All-corner simulation results show that the proposed cell is suitable for low-power applications."
"A High Resolution And Wide Range Temperature Detector Using 180-nm CMOS Process","September 25, 2023","https://ieeexplore.ieee.org/abstract/document/10332257/","Temperature sensors","Temperature distribution","Integrated circuits","Conference Paper","This paper presents a highly linear and high resolution temperature detector implemented using a typical TSMC 180-nm CMOS process.","It is composed of PTAT & CTAT current generator circuits and a current-to-frequency converter. The PTAT current generator is based on a bandgap reference circuit connected to a cascode current mirror, while the CTAT generator is a current mirror driven by a voltage-to-current circuit. Post-layout simulation shows a detection range of –40° ~ 100°C and a 0.5°C resolution. The maximum linearity error is simulated to be 0.406% for the PTAT/CTAT ratio. The power consumption of the design is 15.4 mW at the maximum output frequency = 4.07 MHz, and the area of 0.682 mm2."
"Passiveless Digitally Controlled Oscillator With Embedded PVT Detector Using 40-nm CMOS","October 24, 2023","https://ieeexplore.ieee.org/abstract/document/10396334/","Phase noise","Process control","Voltage control","Conference Paper","This paper presents a design of a digitally controlled oscillator (DCO) with a build-in PVT (process, voltage, temperature) variation sensor using a 40-nm CMOS process.","The DCO is designed using a 128-stage differential ring oscillator wherein the number of stages is being controlled by an input of 7-bit digital code. It is further realized using serpentine style arrangement to minimize variation on wafer. A multiplexed PVT sensor is integrated to provide a way to feedback for output correction using any auto-calibration strategy, e.g., PID control or artificial intelligent control. A linearized model of the DCO is presented based on the results of the post-layout simulations. The DCO has a dynamic range of 9.9 MHz to 527.43 MHz. The DCO is designed to operate at the frequencies –20 °C to 75 °C. The overall chip consumes 0.235 mW from a 0.9 V supply. The overall chip area is 0.67 mm2 with a core area of 0.05 mm2. The all-PVT-corner post-layout simulations show a highly linear fit for the period vs. input code with the worst R2 of 0.992 in the SS corner at 0.99 V supply and 25 °C."
"A 4-kHz per °C High Linearity On-chip Temperature Sensor Implemented Using 40-nm CMOS Process","November 19, 2023","https://ieeexplore.ieee.org/abstract/document/10740073/","Temperature sensors","Operational amplifiers","Power demand","Conference Paper","In this research, a standard TSMC 40-nm CMOS process is used to implement a highly linear and high resolution temperature sensor.","It is composed of an averaging feedback operational amplifier relaxation oscillator controlled by a PTAT current generator. Post-layout simulations show a detection range of 0° ~ 100°C and a 4 kHz per °C resolution. The maximum linearity error is simulated to be 0.15% at the FF corner and 99.85% linear fit. The power consumption of the design is 0.2015 mW at the maximum output frequency = 1.57MHz, and the area of 5291.5μm2."
"A 1-kb Sub-1 fJ/b Per Access CAM Design Using 40-nm CMOS Process","November 19, 2023","https://ieeexplore.ieee.org/abstract/document/10509947/","Associative memory","Circuits and systems","Simulation","Conference Paper","This investigation presents a low-power content addressable memory (CAM) design using 10T single-ended cells.","It uses the single-ended SRAM cell as a memory unit and a single-ended comparison circuit. By adopting this circuit, the proposed CAM cell is the first to have both the read/write and search operation to be in a single-ended mode. An energy reduction by power gating unused column is also presented in this investigation. The proposed CAM is implemented using the typical TSMC 40-nm CMOS logic process. It has an area of 1.4 × 1.4 mm2 with a core of 0.89 mm2. Simulation results show that the energy per bit per search is 0.938 fJ with a search time of 0.47 ns. An FOM comparison based on the search time, energy per bit per search, and supply voltage also showed that the proposed CAM is the best compared to prior designs."
"A 6.25-MHz 3.4-mW Single Clock DPWM Technique Using Matrix Shift Array","February 26, 2024","https://ieeexplore.ieee.org/abstract/document/10445309/","Clocks","Pulse Width","Dead time","Journal","Recent digital pulsewidth modulation (DPWM) researches use multiple clock inputs and long D flip-flop (DFF) arrays, which makes scaling to different DPWM frequencies challenging.","This brief demonstrates a DPWM that utilizes a single clock and a Matrix shift array, allowing it to be scaled to any frequency and reducing the effects of clock skew. It has a clock gating technique that selects a specific row of DFFs based on the required % duty cycle. The DPWM design has a dead time generator to prevent shoot-throughs. The DPWM has been fabricated using UMC 180-nm CMOS process."
"A 54.61-GOPS 96.35-mW Digital Logic Accelerator For Underwater Object Recognition DNN Using 40-nm CMOS Process","April 22, 2024","https://ieeexplore.ieee.org/abstract/document/10595977/","ANN","Parallel Processing","Streaming Media","Conference Paper","CNN (convolution neural network) and DNN (deep neural network) have been widely used in real-time artificial intelligent (AI) applications, particularly image or video recognitions, because they have been proved physically in many occasions.","However, most prior AI hardware works are either suffered from high on-silicon area cost or low usage thereof. This paper presents a power efficient and high performance implementation of a digital logic accelerator (DLA) for the usage of real-time underwater object recognition. The proposed DLA is also featured with 2-dimentional PE (processing element) array to increase the processing throughput by the enhancement of parallelism. The design was realized and fabricated using TSMC 40-nm CMOS process. Not only the post-layout simulation results are shown, the on-silicon measurement outcome is also demonstrated to prove the function correctness and the performance. The area efficiency (GOPS/mm2) is 4.562, and the power efficiency (TOPS/W) is 0.5668 on silicon, which both are the best to date."
"A Highly Reliable XNOR-XOR-RO PUF Design for IoT Security Applications","May 24, 2024","https://ieeexplore.ieee.org/abstract/document/10576561/","Ring Oscillators","Iot Security","Histograms","Conference Paper","PUFs or Physical Unclonable Function is now an emerging trend for hardware and IoT (internet-of-things) security solutions.","IoT solutions always have a poor security features and are vulnerable to external attacks. Hence, a highly reliable security solution is important for their implementation. This work presents a highly reliable physical unclonable function implemented in an FPGA for use in IoT security. The proposed PUF is implemented in Xilinx ZYNQ 7000 FPGA board and operates at 100 MHz. A novel XNX (XNOR-XOR) Ring Oscillator (RO) PUF with configurable frequency is presented in this report. A statistical measure is used to report the experiments done in the design. The proposed design gives a highly reliable output of 99.86%, uniqueness of 49.90%, and a uniformity of 67.30%. The proposed design offered the most reliable design compared to previous works."
"Trends in Technological Areas using Patent Analytics: A Comparative Study on the Time Series Forecasting of International Patent Classification","October 02, 2024","https://ieeexplore.ieee.org/abstract/document/10775190/","Patent","Smoothing Methods","Time Series Analysis","Conference Paper","Intellectual Properties like Patents, Utility Models, Industrial Designs, and Copyrights are considered the drivers of today’s modern knowledge-based economy. The number of registered and granted Intellectual Properties is one key performance indicator of a state in advancing science and technology.","Thus, analyzing the trends is vital as it sets directions for the state. This study aims to analyze the patent trends in the International Patent Classification by incorporating various classical statistical-based techniques and algorithms in time series forecasting. This leads to the generation of insight into the present and future of registered and granted intellectual properties. Autoregression, Seasonal Autoregressive Integrated Moving-Average and Holt Winter’s Exponential Smoothing are the classical time series forecasting algorithms that were compared using three performance indicators, i.e., Root Mean Square Errors, Mean Absolute Errors, and the Coefficient of Determination. It was concluded that the seasonal autoregressive integrated moving average achieved a high performance of several indicators per section. However, it is vital to consider the behaviour of the present data and the appropriate time series forecasting algorithms for forecasting, thus having it on a case-to-case basis."
"Power Supply for Submerged Camera as Applied to Environmental Monitoring","December 16, 2024","https://ieeexplore.ieee.org/abstract/document/10819568/","Thermal Expansion","Power Supply","Ecosystems","Conference Paper","Underwater monitoring technology is crucial for studying aquatic life, particularly in mangrove ecosystems, which are vital to marine biodiversity.","However, these environments present challenges such as limited power supply and frequent manual battery replacements. To address these issues, a renewable energy-powered supply system was developed for a submersible camera tailored for use in mangrove ecosystems. Various energy sources, including solar, wind, and wave energy, were evaluated, with the most suitable option selected based on energy availability and environmental compatibility. The waterproof prototype was designed for durability and ease of maintenance and tested initially in a controlled pool environment, followed by field deployment in the Lobo, Batangas mangrove area in the Philippines. Key performance aspects, including waterproofing, energy efficiency, and maintenance, were assessed. The system used a commercial utility box with silicone sealant to ensure waterproofing, and voltage and current measurements confirmed the reliable energy supply under varied load conditions. Results demonstrate the system’s capability to meet continuous camera energy needs with minimal intervention, offering an effective solution for long-term underwater monitoring in mangrove ecosystems."
"An on-chip temperature sensor with 0.5 °C resolution and 0.34% linearity error using 180-nm CMOS process","January 24, 2025","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4967012","High Linearity","CTAT","PTAT", Journal,"This investigation demonstrates an on-chip temperature sensor with a maximum linear error less than 0.4% and 0.5° C resolution.","The design comprises Current-to-Frequency Converters (CFC), complementary (CTAT), and proportional (PTAT) to absolute temperature current generator circuits. Most important of all, the proposed sensor is featured with the ratio of these two currents to enhance the linearity and high resolution. The proposed sensor was realized using a 180-nm CMOS process. The core area is 0.196 mm 2. The measurement results show 0.3484% maximum linearity error for the PTAT/CTAT ratio. The maximum output frequency of the temperature detector is 4.817 MHz, with the highest power consumption of 20.13 mW. It was proved to be used in a–40° C∼ 100° C temperature detection range with 0.5° C resolution."
"A Power-efficient 0.5668 TOPS/W Digital Logic Accelerator Implemented Using 40-nm CMOS Process For Underwater Object Recognition Usage","February 7, 2025","https://ieeexplore.ieee.org/iel8/6287639/6514899/10877824.pdf","Deep Neural Networks (DNN)","Digital Logic Accelerator (DLA)","Object Recognition","Journal","DNN (deep neural network) and CNN (convolution neural network) have been widely used in real-time artificial intelligent (AI) applications, particularly image or video recognitions, because they have been proved physically in many occasions.","However, most prior AI hardware works are either suffered from high on-silicon area cost or low usage thereof. This investigation presents a power efficient and high performance implementation of a digital logic accelerator (DLA) for the underwater real-time underwater object recognition. The proposed DLA is also featured with 2-dimensional PE (processing element) array to increase the processing throughput by the enhancement of parallelism. The DLA design was realized and fabricated using TSMC 40-nm CMOS process."
"A negative voltage generator with 4-stage configurable parallel switching for smart window film applications","July 3, 2023","https://www.tandfonline.com/doi/abs/10.1080/21681724.2023.2224067","Charge Pump","4-phase clocking","HV BCD","Journal","A negative voltage generator was developed that can be used in the drivers of smart window films (SWF), which have typical operating voltages of +8 to +10 V.","It consists of four Negative Charge Pump (NCP) stages and a 4-phase non-overlapping Clock Generator (CG), where the 4 NCP stages are configurable by external digital signals. This generates a wide output voltage range necessary to control different SWF modes, such as opaque, transparent, and tinted modes. TSMC 0.18-μm HV BCD (High-Voltage Bipolar-CMOS-DMOS) process was used to fabricate the proposed negative voltage generator on silicon. Measurement results demonstrate that at switching frequency (fsw) = 20 MHz, supplied voltage (VDD) = 4.5 V and Vin = GND, it generates a wide output voltage range of −3.9 to −14.0 V, achieving the widest voltage range among the prior works, which covers the required negative voltage range for SWF usage. The peak efficiency is measured on silicon to be 58.08% ."
"A pivotal restructuring of modelling the control of COVID-19 during and after massive vaccination for the next few years","April 30, 2021","https://europepmc.org/article/ppr/ppr318920","COVID-19","SARS-CoV-2","Closed loop models","Journal","This paper presents a new mathematical feedback model to demonstrate how direct observations of the epidemiological compartments of population could be mapped to inputs, such that the social spread of the disease is asymptotically subdued.","Details of the stabilization and robustness are included. This is a pivotal restructuring of modelling the control of corona virus from the current models in use world-wide which do not utilize feedback of functions of epidemiological compartments of population to construct the inputs. Although several vaccines have received Emergency Use Authorization (EUA) massive vaccination would take several years to reach herd immunity in most countries. Furthermore, the period of efficacy of the vaccination may be approximately one year only resulting in an unending vaccination. Even during the vaccination, there would be an urgent need to control the spread of the virus. When herd immunity is reached without feedback control and vaccination is discontinued, there could be new surges of the disease. These surges of disease could be prevented in appropriately designed stable feedback models. Moreover, extensive testing, contact tracing, and medical treatment of those found infected, must be maintained."
"A 92.95%-efficiency high-voltage dual-mode buck converter using 0.5-µm HV CMOS process","August 2, 2024","https://www.tandfonline.com/doi/abs/10.1080/00207217.2023.2235720","Buck Converter","HV CMOS","Pulse Frequency Modulation","Journal","This paper presents a highly efficient dual-mode HV (high voltage) buck converter which operates at both light and heavy load currents.","To improve the conversion efficiency at two different load conditions, a dual-mode design composed of pulse width modulation (PWM) and pulse frequency modulation (PFM) were implemented using TSMC 0.5-μm HV CMOS process. The chip area is 2038.05 × 1689.85μm2, while the input voltage ranges from 12 V to 15 V. A 92.95% peak efficiency at a load current of 10 mA was achieved based on on-silicon measurement results."
"A 13.73 ns Input Time Range TDA Design Based on Adjustable Current Sources Using 40-nm CMOS Process","March 22, 2024","https://link.springer.com/article/10.1007/s00034-024-02640-2","","","","Journal","This study presents a time-difference amplifier (TDA) based on adjustable current sources.","The proposed amplifier uses a phase detection circuit, delay element, and current source architecture for time-difference (i.e., delay) amplification. It includes a reset circuit that prevents the capacitors in the current sources from charging and discharging simultaneously. In addition, an adjustable current source control increases the range of input time difference. The TDA design is implemented in TSMC 40-nm technology with 964.24 × 961.81 µm2 overall chip area and 209.42 × 84.76 µm2 core area. The TDA achieves the widest time-difference input range of ± 13,730 ps, less than 4% gain error, the lowest supply voltage, and the highest FOM compared to prior TDAs."
"A single-chip PFM-controlled LED driver with 0.5% illuminance variation","May 1, 2024","https://www.sciencedirect.com/science/article/pii/S002626922400079X","","","","Journal","A high-efficiency LED driver with the pulse frequency modulation (PFM) control method to generate nearly consistent illuminance is demonstrated in this investigation.","The illuminance consistency is achieved by sensing the feedback voltage and the temperature to modulate the on time of power devices such that automatic illuminance regulation is carried out. The recommended LED driver using the PFM control method is featured with an up-and-coming illuminance equalizer. Thus, it does not need any compensation circuit. Utilizing a 0.5-µm High Voltage CMOS process, the prototype has successfully fabricated, occupying 3.2 mm2 of chip area. The measurement outcomes of the chip demonstrate that the current error remains within 1% when the LED output current set at 20 mA. Moreover, the variation in illuminance is exceptionally low, measuring a mere 0.5%. Furthermore, the efficiency reaches 91% verified by the measurement results."
"A metastable RNG using interleaved NAND-and NOR-based TEROs","February 9, 2024","https://www.tandfonline.com/doi/abs/10.1080/21681724.2024.2312551","Long Run Test","Metastable","Transient Effect Ring Oscillator","Journal","This study introduces a novel approach to address the limitations observed in existing random number generator (RNG) designs, focusing on the resolution for insufficiently covered problem statements and study purposes.","In response to these challenges, we propose a high-throughput metastable-based RNG tailored for cryptography applications. Our design is featured with a two-layer transient effect ring oscillator (TERO) architecture, meticulously crafted to mitigate the locking phenomenon and enhance RNG randomness. Leveraging interleaved two-layer TEROs, realised through NAND and NOR SR latches, our RNG achieves unpredictable irregular sampling, crucial for cryptographic applications. To further enhance irregular sampling, the first layer of the RNG employs a multiplexer that selects inputs randomly. This multiplexer is governed by selection signals generated by the second layer of the RNG, ensuring superior randomness. Implemented using TSMC 40-nm CMOS process, our RNG passed the FIPS 140–1 randomness test at a clock frequency of 100 MHz, boasting a remarkable throughput of 50 Mbps. This study represents a significant advancement in RNG technology, addressing previous shortcomings and paving the way for high-speed communication systems’ secure cryptographic applications."
